"지역별(1)","지역별(2)",지역별(3),상품군별(1),상품군별(2),2014.1/4,2014.2/4,2014.3/4,2014.4/4,2015.1/4,2015.2/4,2015.3/4,2015.4/4,2016.1/4,2016.2/4,2016.3/4,2016.4/4,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4,2022.1/4,2022.2/4,2022.3/4,2022.4/4,2023.1/4 p)
"기타","소계",소계,합계,소계,612,608,518,794,891,1158,3268,2069,1609,2138,3669,3370,2971,3082,2764,3493,3528,3992,3752,6397,4810,5257,5330,8059,8400,8091,8809,12790,12928,12029,13383,17262,18790,15132,16006,15673,-
"기타","소계",소계,컴퓨터 및 주변기기,소계,8,6,16,18,17,4,16,29,13,20,9,14,25,13,22,17,26,11,7,60,19,23,30,36,14,20,43,48,53,43,34,45,46,49,36,48,-
"기타","소계",소계,가전·전자·통신기기,소계,29,22,24,79,56,97,23,34,34,31,43,93,55,69,61,65,57,87,88,147,96,110,53,81,156,115,72,123,123,149,92,102,131,79,141,165,-
"기타","소계",소계,가전·전자·통신기기,가전·전자,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타","소계",소계,가전·전자·통신기기,통신기기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"기타","소계",소계,소프트웨어,소계,12,23,13,20,8,12,7,8,4,2,4,4,3,4,4,5,3,1,2,3,1,4,2,2,4,4,2,9,13,4,11,19,10,2,4,8,-
"기타","소계",소계,서 적,소계,29,55,32,26,23,13,11,13,13,8,8,21,25,28,19,20,22,22,20,21,26,24,15,33,28,51,70,145,85,114,94,128,141,71,82,85,-
"기타","소계",소계,사무·문구,소계,5,4,3,8,7,5,4,5,2,1,2,4,6,9,6,7,7,4,5,10,6,5,7,8,5,16,12,13,16,14,22,20,14,16,26,27,-
"기타","소계",소계,음반·비디오·악기,소계,15,9,10,7,14,13,4,12,4,12,21,9,5,8,9,15,10,10,20,13,10,13,11,20,14,15,12,20,39,44,37,38,43,21,19,26,-
"기타","소계",소계,의류 및 패션 관련 상품,소계,160,180,191,332,300,452,2634,1317,740,1407,681,2014,1352,1708,1361,2324,1929,2324,2174,4405,2643,2827,2469,4953,3639,3821,4527,7490,6844,5896,7460,10162,11533,7455,8922,8576,-
"기타","소계",소계,스포츠·레저용품,소계,9,9,5,7,12,5,12,21,7,12,16,28,21,24,22,23,21,23,37,26,19,27,43,45,75,47,112,92,90,76,80,86,94,60,88,90,-
"기타","소계",소계,화장품,소계,18,16,8,10,101,52,40,239,229,98,41,90,81,58,45,65,66,42,40,100,90,54,39,78,137,73,110,179,233,199,156,272,306,236,228,472,-
"기타","소계",소계,아동·유아용품,소계,12,6,8,6,26,15,4,9,7,4,19,18,14,16,52,21,17,17,15,17,16,14,16,27,21,15,23,48,39,39,36,51,42,39,29,50,-
"기타","소계",소계,음·식료품,소계,77,112,108,135,123,231,392,187,376,341,357,897,1145,859,801,719,926,1054,1128,1248,1585,1756,2252,2446,3393,3155,3224,3838,4469,4460,4138,5241,5444,5702,5389,5376,-
"기타","소계",소계,농축수산물,소계,0,1,0,0,0,1,4,2,2,1,0,5,6,7,5,8,6,7,6,5,5,5,32,5,8,76,63,6,189,247,159,194,165,100,93,55,-
"기타","소계",소계,생활·자동차용품,소계,16,15,16,19,23,27,32,30,47,42,56,57,67,64,84,106,92,104,83,94,99,99,92,109,410,165,156,216,237,232,209,315,324,540,316,268,-
"기타","소계",소계,기 타,소계,222,150,85,125,182,229,87,163,129,160,2413,116,168,215,270,101,345,287,127,248,192,298,271,216,494,517,384,563,499,511,855,589,493,763,633,429,-
